"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"other krill","bathypelagic fishes",0.261365651445636,0.0640635054504979,1.22125279226291,0.0158191087963558,3.97374411057702,0.941351101998182,2.61365651445636e-07,6.40635054504979e-08,1.22125279226291e-06,"Unexploited"
"other macrozooplankton","bathypelagic fishes",69289866.2396107,47693364.7711974,104659822.264649,18126391.947089,173930112.323672,82166736.3826682,69.2898662396107,47.6933647711974,104.659822264649,"Unexploited"
"antarctic krill","bathypelagic fishes",143.996117053503,48.0742505257098,444.105913391512,8.46571533557062,962.348198301425,316.219735797407,0.000143996117053503,4.80742505257098e-05,0.000444105913391512,"Unexploited"
"salps","bathypelagic fishes",0.023632315308344,0.0116957066748297,0.0564975138040412,0.00325794442655845,0.122889506555248,0.0393815832462968,2.3632315308344e-08,1.16957066748297e-08,5.64975138040412e-08,"Unexploited"
"mesopelagic fishes","bathypelagic fishes",37346385047.797,25522909310.3225,63523304881.1541,5324566954.7223,76924720494.5681,42538634194.0124,37346.385047797,25522.9093103225,63523.3048811541,"Unexploited"
"bathypelagic fishes","bathypelagic fishes",65156431761.7518,34883158391.5883,117500315991.796,14239575940.3638,199606731925.091,82020362071.9334,65156.4317617518,34883.1583915883,117500.315991796,"Unexploited"
"shelf and coastal fishes","bathypelagic fishes",85490779039.7855,61194967031.5583,108103404833.977,35807646204.2289,136267010477.656,85236469786.6856,85490.7790397855,61194.9670315583,108103.404833977,"Unexploited"
"flying birds","bathypelagic fishes",2640118535.21439,1801575276.39678,3612674632.27587,1073360383.23341,5032480120.8371,2782997744.07533,2640.11853521438,1801.57527639678,3612.67463227587,"Unexploited"
"small divers","bathypelagic fishes",515601426.072203,314043989.251075,1008483494.21557,70573834.4216449,1649573117.53669,681362496.517607,515.601426072203,314.043989251075,1008.48349421557,"Unexploited"
"squids","bathypelagic fishes",470944329241.074,318044590166.518,643824905771.092,185448807691.858,957136131120.406,508167253150.182,470944.329241074,318044.590166518,643824.905771092,"Unexploited"
"toothfishes","bathypelagic fishes",733660510900.51,376727726846.752,1197956023430.17,78135026225.9044,1983411101396.85,844305227622.122,733660.51090051,376727.726846752,1197956.02343017,"Unexploited"
"leopard seals","bathypelagic fishes",45270620.7086671,27233274.9015898,64685627.5177031,12390089.3533714,99621488.3259879,49339505.6008482,45.2706207086671,27.2332749015898,64.6856275177031,"Unexploited"
"medium divers","bathypelagic fishes",169583440814.022,102285313430.973,264552614976.475,48294377483.8085,451829591890.862,198221293452.099,169583.440814022,102285.313430973,264552.614976475,"Unexploited"
"large divers","bathypelagic fishes",4542159171.84018,2670002410.63009,8845424858.09993,1057130507.65779,34603657755.2664,11137313308.766,4542.15917184018,2670.00241063009,8845.42485809993,"Unexploited"
"minke whales","bathypelagic fishes",53850929.8885613,29306312.3259002,134312283.515486,12424780.4055172,26708911102.6739,5681431043.3184,53.8509298885613,29.3063123259002,134.312283515486,"Unexploited"
